Daily,Steps,calories,distance,recordkey
2024-11-29,8701.0,0,6.9608,e27ba7ef-8bb2-424c-af1d-877e826b7487
2024-11-30,3114,107.87,2.3598,3b87c9a4-f983-4168-8f27-85436447bb57
2024-11-30,6409,258.46,4.84077,7836887b-b12a-440f-af0f-851546504b13
2024-11-30,5326.21,0,4.260972,7b012e6e-ba2b-49c7-bc2e-473b7b58e72e
2024-11-30,12886.0,0,10.3088,e27ba7ef-8bb2-424c-af1d-877e826b7487
2024-12-01,6920,228.82,5.48735,3b87c9a4-f983-4168-8f27-85436447bb57
2024-12-01,6911,279.01,5.27771,7836887b-b12a-440f-af0f-851546504b13
2024-12-01,7443.0,0,5.9544,7b012e6e-ba2b-49c7-bc2e-473b7b58e72e
2024-12-01,2136.88,0,1.709504,e27ba7ef-8bb2-424c-af1d-877e826b7487
2024-12-02,8194,294.78,6.20902,3b87c9a4-f983-4168-8f27-85436447bb57
2024-12-02,5152,209.01,3.9057,7836887b-b12a-440f-af0f-851546504b13
2024-12-02,5908.3,0,4.726641,7b012e6e-ba2b-49c7-bc2e-473b7b58e72e
2024-12-02,12055.12,0,9.644096,e27ba7ef-8bb2-424c-af1d-877e826b7487
2024-12-03,11103,383.32,8.52758,3b87c9a4-f983-4168-8f27-85436447bb57
2024-12-03,9253,366.02,6.99048,7836887b-b12a-440f-af0f-851546504b13
2024-12-03,9561.62,0,7.649295,7b012e6e-ba2b-49c7-bc2e-473b7b58e72e
2024-12-03,6741.0,0,5.3928,e27ba7ef-8bb2-424c-af1d-877e826b7487
2024-12-04,8507,308.82,6.44708,3b87c9a4-f983-4168-8f27-85436447bb57
2024-12-04,11100,452.92,8.32712,7836887b-b12a-440f-af0f-851546504b13
2024-12-04,8164.89,0,6.531915,7b012e6e-ba2b-49c7-bc2e-473b7b58e72e
2024-12-04,14754.0,0,11.8032,e27ba7ef-8bb2-424c-af1d-877e826b7487
2024-12-05,10329,375.13,7.86842,3b87c9a4-f983-4168-8f27-85436447bb57
2024-12-05,13942,549.58,10.45088,7836887b-b12a-440f-af0f-851546504b13
2024-12-05,7242.0,0,5.7936,7b012e6e-ba2b-49c7-bc2e-473b7b58e72e
2024-12-05,10798.0,0,8.6384,e27ba7ef-8bb2-424c-af1d-877e826b7487
2024-12-06,12300,419.26,9.488851,3b87c9a4-f983-4168-8f27-85436447bb57
2024-12-06,6069,244.99,4.60099,7836887b-b12a-440f-af0f-851546504b13
2024-12-06,5952.22,0,4.761774,7b012e6e-ba2b-49c7-bc2e-473b7b58e72e
2024-12-06,8658.0,0,6.9264,e27ba7ef-8bb2-424c-af1d-877e826b7487
2024-12-07,5063,220.87,4.44694,3b87c9a4-f983-4168-8f27-85436447bb57
2024-12-07,6835,277.2,5.154009,7836887b-b12a-440f-af0f-851546504b13
2024-12-07,11768.05,0,9.414438,7b012e6e-ba2b-49c7-bc2e-473b7b58e72e
2024-12-07,10269.0,0,8.2152,e27ba7ef-8bb2-424c-af1d-877e826b7487
2024-12-08,5353,183.44,4.20104,3b87c9a4-f983-4168-8f27-85436447bb57
2024-12-08,2943,115.4,2.24306,7836887b-b12a-440f-af0f-851546504b13
2024-12-08,5751.7,0,4.601359,7b012e6e-ba2b-49c7-bc2e-473b7b58e72e
2024-12-08,11654.0,0,9.3232,e27ba7ef-8bb2-424c-af1d-877e826b7487
2024-12-09,5740,191.13,4.46605,3b87c9a4-f983-4168-8f27-85436447bb57
2024-12-09,8659,346.15,6.61318,7836887b-b12a-440f-af0f-851546504b13
2024-12-09,6466.0,0,5.172797,7b012e6e-ba2b-49c7-bc2e-473b7b58e72e
2024-12-09,10906.0,0,8.7248,e27ba7ef-8bb2-424c-af1d-877e826b7487
2024-12-10,9249,320.3,7.1585,3b87c9a4-f983-4168-8f27-85436447bb57
2024-12-10,6546,265.09,4.96175,7836887b-b12a-440f-af0f-851546504b13
2024-12-10,8041.0,0,6.4328,7b012e6e-ba2b-49c7-bc2e-473b7b58e72e
2024-12-10,12888.0,0,10.3104,e27ba7ef-8bb2-424c-af1d-877e826b7487
2024-12-11,10467,350.56,8.13617,3b87c9a4-f983-4168-8f27-85436447bb57
2024-12-11,7513,302.82,5.58759,7836887b-b12a-440f-af0f-851546504b13
2024-12-11,8734.35,0,6.987477,7b012e6e-ba2b-49c7-bc2e-473b7b58e72e
2024-12-11,12712.0,0,10.1696,e27ba7ef-8bb2-424c-af1d-877e826b7487
2024-12-12,10929,372.07,8.39101,3b87c9a4-f983-4168-8f27-85436447bb57
2024-12-12,7093,285.37,5.41447,7836887b-b12a-440f-af0f-851546504b13
2024-12-12,8510.0,0,6.808,7b012e6e-ba2b-49c7-bc2e-473b7b58e72e
2024-12-12,8803.0,0,7.0424,e27ba7ef-8bb2-424c-af1d-877e826b7487
2024-12-13,9349,314.54,7.21835,3b87c9a4-f983-4168-8f27-85436447bb57
2024-12-13,8102,325.22,6.12631,7836887b-b12a-440f-af0f-851546504b13
2024-12-13,7315.03,0,5.852021,7b012e6e-ba2b-49c7-bc2e-473b7b58e72e
2024-12-13,8338.0,0,6.6704,e27ba7ef-8bb2-424c-af1d-877e826b7487
2024-12-14,4154,145.77,3.16634,3b87c9a4-f983-4168-8f27-85436447bb57
2024-12-14,4797,191.8,3.65707,7836887b-b12a-440f-af0f-851546504b13
2024-12-14,7114.36,0,5.691492,7b012e6e-ba2b-49c7-bc2e-473b7b58e72e
2024-12-14,5350.0,0,4.28,e27ba7ef-8bb2-424c-af1d-877e826b7487
2024-12-15,3412,116.98,2.63296,3b87c9a4-f983-4168-8f27-85436447bb57
2024-12-15,4245,167.83,3.20954,7836887b-b12a-440f-af0f-851546504b13
2024-12-15,4004.64,0,3.203708,7b012e6e-ba2b-49c7-bc2e-473b7b58e72e
2024-12-15,788.0,0,0.6304,e27ba7ef-8bb2-424c-af1d-877e826b7487
2024-12-16,9482,334.34,7.2513,3b87c9a4-f983-4168-8f27-85436447bb57
2024-12-16,6432,257.43,4.85648,7836887b-b12a-440f-af0f-851546504b13
